Tweet id,Text,Create at,Class,Emoticons
1896036876,Birthday Party Kids Birthday Party Entertainment Excitement,2020-03-13 22:42:15,#Excitement,•̀.̫•́✧
1896036876,Birthday Party Kids Birthday Party Entertainment Excitement,2020-03-13 22:42:15,#Excitement,•̀.̫•́✧
24749297,washing my hair excitement NOT,2020-03-13 22:36:59,#Excitement,•̀.̫•́✧
1896036876,Birthday Party Kids Birthday Party Entertainment Excitement,2020-03-13 22:42:15,#Excitement,•̀.̫•́✧
24749297,washing my hair excitement NOT,2020-03-13 22:36:59,#Excitement,•̀.̫•́✧
1179767930692788224,Money was never a big motivation for me except as a way to kep score The real excitement is playing the game Donald Trump,2020-03-13 22:24:03,#Excitement,•̀.̫•́✧
1896036876,Birthday Party Kids Birthday Party Entertainment Excitement,2020-03-13 22:42:15,#Excitement,•̀.̫•́✧
24749297,washing my hair excitement NOT,2020-03-13 22:36:59,#Excitement,•̀.̫•́✧
1179767930692788224,Money was never a big motivation for me except as a way to kep score The real excitement is playing the game Donald Trump,2020-03-13 22:24:03,#Excitement,•̀.̫•́✧
1101756876184801280,Hapy group with us cal or WhatsAp 0551414092 or email infouniqueadvtourscom dubaidesertsafari desertuae,2020-03-13 20:24:57,#Excitement,•̀.̫•́✧
1896036876,Birthday Party Kids Birthday Party Entertainment Excitement,2020-03-13 22:42:15,#Excitement,•̀.̫•́✧
24749297,washing my hair excitement NOT,2020-03-13 22:36:59,#Excitement,•̀.̫•́✧
1179767930692788224,Money was never a big motivation for me except as a way to kep score The real excitement is playing the game Donald Trump,2020-03-13 22:24:03,#Excitement,•̀.̫•́✧
1101756876184801280,Hapy group with us cal or WhatsAp 0551414092 or email infouniqueadvtourscom dubaidesertsafari desertuae,2020-03-13 20:24:57,#Excitement,•̀.̫•́✧
3371504486,Watch to the end A throw back to late last year marlin depseafishing excitement hateras bigfish fishing,2020-03-13 18:59:11,#Excitement,•̀.̫•́✧
1896036876,Birthday Party Kids Birthday Party Entertainment Excitement,2020-03-13 22:42:15,#Excitement,•̀.̫•́✧
24749297,washing my hair excitement NOT,2020-03-13 22:36:59,#Excitement,•̀.̫•́✧
1179767930692788224,Money was never a big motivation for me except as a way to kep score The real excitement is playing the game Donald Trump,2020-03-13 22:24:03,#Excitement,•̀.̫•́✧
1101756876184801280,Hapy group with us cal or WhatsAp 0551414092 or email infouniqueadvtourscom dubaidesertsafari desertuae,2020-03-13 20:24:57,#Excitement,•̀.̫•́✧
3371504486,Watch to the end A throw back to late last year marlin depseafishing excitement hateras bigfish fishing,2020-03-13 18:59:11,#Excitement,•̀.̫•́✧
37859232,Social distancing into the wekend like doglover qualitytime wekend excitement shitzu,2020-03-13 18:52:17,#Excitement,•̀.̫•́✧
1896036876,Birthday Party Kids Birthday Party Entertainment Excitement,2020-03-13 22:42:15,#Excitement,•̀.̫•́✧
24749297,washing my hair excitement NOT,2020-03-13 22:36:59,#Excitement,•̀.̫•́✧
1179767930692788224,Money was never a big motivation for me except as a way to kep score The real excitement is playing the game Donald Trump,2020-03-13 22:24:03,#Excitement,•̀.̫•́✧
1101756876184801280,Hapy group with us cal or WhatsAp 0551414092 or email infouniqueadvtourscom dubaidesertsafari desertuae,2020-03-13 20:24:57,#Excitement,•̀.̫•́✧
3371504486,Watch to the end A throw back to late last year marlin depseafishing excitement hateras bigfish fishing,2020-03-13 18:59:11,#Excitement,•̀.̫•́✧
37859232,Social distancing into the wekend like doglover qualitytime wekend excitement shitzu,2020-03-13 18:52:17,#Excitement,•̀.̫•́✧
45274795,I am ready for my first 10k tomorow Have the of excitement growthmindset learned growth,2020-03-13 18:16:15,#Excitement,•̀.̫•́✧
1896036876,Birthday Party Kids Birthday Party Entertainment Excitement,2020-03-13 22:42:15,#Excitement,•̀.̫•́✧
